City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
300,Itinga,BR,80.1,broken clouds,-16.6131,-41.7653,Hotel Restaurante Itinga
303,Sibolga,ID,76.03,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
304,San Vicente,AR,72.27,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
313,Amarpur,IN,84.6,clear sky,25.0333,86.9,Amit kirana store
315,Buala,SB,80.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
316,Mogadishu,SO,82.38,broken clouds,2.0371,45.3438,Hotel Juba
317,Ambilobe,MG,73.76,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
318,Sambava,MG,76.19,light rain,-14.2667,50.1667,Melrose
324,Tamandare,BR,79.7,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
326,Umm Lajj,SA,77.09,clear sky,25.0213,37.2685,Moon light Furnished Units
329,Chippewa Falls,US,72.37,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
330,Narasannapeta,IN,81.5,few clouds,18.4167,84.05,AVK events and catering
331,Muli,MV,83.91,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
336,Kailua,US,77.02,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
342,Tuy Hoa,VN,77.11,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
344,Namibe,AO,72.77,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
345,Takaungu,KE,79.88,scattered clouds,-3.6837,39.8566,Takaungu House
346,Pasni,PK,81.3,clear sky,25.2631,63.471,Kashmiri Hotal
347,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
349,Benjamin Aceval,PY,78.94,few clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
351,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
353,Totness,SR,79.54,moderate rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
358,Rawson,AR,77.49,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
360,Nuzvid,IN,85.73,overcast clouds,16.7833,80.85,HI-TECH LODGE
364,Machilipatnam,IN,84.56,overcast clouds,16.1667,81.1333,R&B Bungalow
365,Mamallapuram,IN,87.85,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
366,Sola,VU,81.48,clear sky,-13.8833,167.55,Leumerus Bungalows
368,Alibag,IN,86.07,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
372,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
